Actual Protocol,ACIA1,ACIA2,ACIA3,ACIA4,ARIA1,ARIA2,ARIA3,ARIA4,ARP,Amap,DNS,ICMP,IPv6 TCP,Malicious ICMP,Malicious SSH,Modbus,NTP,Nmap,PLC Scan,SCIA1,SCIA2,SCIA3,SCIA4,SRIA1,SRIA2,SRIA3,SRIA4,SSH,SYN Flood,Smurf,TCP,Telnet,UDP Flood
ACIA1,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACIA2,0,665,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACIA3,0,21,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACIA4,0,0,0,1228,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIA1,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIA2,0,0,0,0,0,674,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIA3,0,0,0,0,0,10,728,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIA4,0,0,0,0,0,11,5,864,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARP,0,0,0,0,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amap,0,0,0,0,0,0,0,0,0,1330,0,0,0,0,23,0,0,0,162,3,0,0,3,2,3,3,0,0,0,0,8,12,0
DNS,0,0,0,0,0,0,0,0,0,0,2408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICMP,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPv6 TCP,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malicious ICMP,0,0,0,0,0,0,0,0,0,0,0,0,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malicious SSH,0,0,0,0,0,0,0,7,0,31,0,0,0,0,386,0,0,0,1,3,5,5,9,4,12,11,10,5,0,0,0,3,0
Modbus,0,1,1,16,2,2,7,7,0,0,0,0,0,0,0,75156,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5,1,0
NTP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
Nmap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1486,3,0,0,3,0,0,0,0,0,0,1,6,0,0,0
PLC Scan,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,1361,1,4,0,0,6,16,0,0,0,5,0,18,1,0
SCIA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,805,82,7,15,14,12,4,28,0,0,0,0,0,0
SCIA2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,69,1498,14,7,16,31,10,22,0,0,0,0,0,0
SCIA3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,14,35,2385,3,2,2,0,5,0,0,0,0,0,0
SCIA4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,15,18,20,3117,5,4,6,3,0,0,0,0,0,0
SRIA1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,11,18,27,11,924,10,6,9,0,0,0,0,0,0
SRIA2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,14,10,18,8,22,1663,13,18,0,0,0,0,0,0
SRIA3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,8,7,11,14,5,8,17,2381,24,0,0,0,0,0,0
SRIA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,19,3,12,11,15,13,17,3200,0,0,0,0,0,0
SSH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,1,0,0,0,0,3,0,0,864,0,0,7,1,0
SYN Flood,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,724,0,0,0,0
Smurf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,0,0,0
TCP,0,0,0,0,0,0,0,0,0,13,0,0,0,0,10,6,0,0,18,0,0,0,0,0,4,0,0,2,0,0,12448,1,0
Telnet,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,2,1,1,1,4,3,0,0,1,8,0,0,0,3,456,0
UDP Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,763
