Actual Protocol,ACIA1,ACIA2,ACIA3,ARIA1,ARIA2,ARIA3,ARIA4,ARP,Amap,DNS,IPv6 TCP,Malicious SSH,Modbus,NTP,Nmap,PLC Scan,SCIA2,SCIA3,SCIA4,SRIA1,SRIA2,SRIA3,SRIA4,SSH,SYN Flood,Smurf,TCP,Telnet,UDP Flood
ACIA1,77,260,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACIA2,71,598,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACIA3,19,146,731,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACIA4,10,16,16,0,0,0,0,0,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIA1,0,0,0,267,116,18,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIA2,0,0,0,26,596,10,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIA3,0,0,0,57,142,511,0,0,0,0,0,0,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARIA4,0,0,0,0,7,26,587,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARP,0,0,0,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amap,0,0,0,0,0,0,0,0,1202,0,0,9,0,0,1,310,3,0,0,0,1,0,0,0,0,0,7,16,0
DNS,0,0,0,0,0,0,0,0,0,2406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ICMP,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPv6 TCP,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Malicious ICMP,0,0,0,0,0,0,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malicious SSH,0,0,0,0,0,0,0,0,50,4,0,367,0,0,0,42,2,0,2,0,0,0,0,5,0,0,7,13,0
Modbus,10,15,65,8,16,17,210,0,0,0,0,1,74749,0,0,0,0,0,0,0,1,0,0,109,0,0,14,0,0
NTP,0,0,0,0,0,0,0,16,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nmap,0,0,0,0,0,0,0,1174,0,0,0,0,0,0,322,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC Scan,0,0,0,0,0,0,0,0,268,0,0,15,0,0,0,1108,9,40,41,0,1,3,3,0,1,0,10,19,0
SCIA1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,150,337,66,7,11,331,67,0,0,0,0,0,0
SCIA2,7,15,0,0,0,0,0,0,0,0,0,0,24,0,0,3,408,494,65,1,77,505,70,0,0,0,0,0,0
SCIA3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,7,195,1534,163,7,8,437,97,0,0,0,0,0,0
SCIA4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,80,214,2566,22,9,271,27,0,0,0,0,0,0
SRIA1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,78,67,17,29,55,686,82,0,0,0,0,0,0
SRIA2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,106,155,4,0,687,551,262,0,0,0,0,0,0
SRIA3,0,0,0,0,0,0,0,0,2,0,0,0,59,0,0,17,179,229,59,3,105,1535,291,0,0,0,3,1,0
SRIA4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,73,106,4,11,115,496,2479,0,0,0,0,0,0
SSH,0,0,0,0,0,0,0,0,0,0,0,23,32,0,0,4,1,0,0,0,0,1,1,755,0,0,84,3,0
SYN Flood,0,0,0,0,0,0,0,0,6,0,0,0,0,0,19,22,0,0,0,0,0,0,0,0,684,0,0,0,0
Smurf,0,0,0,0,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCP,0,0,0,0,0,0,0,0,0,3,0,27,33,0,0,0,0,0,0,0,1,0,0,37,0,0,12395,6,0
Telnet,0,0,0,0,0,0,0,0,213,0,0,63,13,0,0,50,0,0,1,0,4,0,1,5,0,0,6,138,0
UDP Flood,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,389
